"date","close","volume","open","high","low"

"2017/09/01","225.1800","269977.0000","225.9500","226.1300","223.7700"
"2017/08/31","225.5000","386343.0000","226.0000","226.9000","223.7200"
"2017/08/30","225.0900","314843.0000","223.3300","225.2700","221.6700"
"2017/08/29","223.6400","321837.0000","221.6500","223.9200","221.1400"
"2017/08/28","223.6800","278301.0000","223.3900","224.3500","221.9000"
"2017/08/25","222.0200","394664.0000","223.3400","224.5000","221.4150"
"2017/08/24","222.9000","332122.0000","221.3800","225.0000","221.3800"
"2017/08/23","220.8300","555100.0000","221.6800","222.2600","219.0500"
"2017/08/22","222.8800","440793.0000","222.0000","224.2390","221.6300"
"2017/08/21","221.1500","462422.0000","221.0800","222.3700","220.3216"
"2017/08/18","221.2700","393619.0000","222.5600","223.7400","221.0400"
"2017/08/17","223.0200","509669.0000","227.9700","229.5000","222.8450"
"2017/08/16","228.6200","557465.0000","227.1100","230.4500","226.5100"
"2017/08/15","226.4500","899405.0000","223.0000","228.1200","221.0400"
"2017/08/14","222.4100","759538.0000","224.6700","226.3900","221.0400"
"2017/08/11","222.6400","548404.0000","221.4200","223.4100","220.7700"
"2017/08/10","222.2100","1260857.0000","229.3300","229.5800","221.1600"
"2017/08/09","232.4400","491370.0000","235.0000","235.0000","231.3700"
"2017/08/08","235.4500","498763.0000","238.0200","239.2300","235.0500"
"2017/08/07","238.9700","273481.0000","238.5400","240.5700","238.4500"
"2017/08/04","239.2700","295593.0000","240.9900","241.4000","238.9900"
"2017/08/03","239.9900","378704.0000","240.2100","241.3400","239.0000"
"2017/08/02","240.4400","481307.0000","239.8800","241.3100","239.0100"
"2017/08/01","239.8700","363362.0000","242.0200","242.4800","239.8300"
"2017/07/31","241.4300","349542.0000","241.3000","242.5600","240.5500"
"2017/07/28","241.0500","531158.0000","240.1800","241.5200","238.9100"
"2017/07/27","240.7100","632698.0000","243.0000","243.1300","237.5500"
"2017/07/26","238.7600","508145.0000","242.6700","242.6700","238.5600"
"2017/07/25","242.0700","626560.0000","240.8900","244.8700","239.8700"
"2017/07/24","240.1500","948102.0000","236.6300","240.2600","235.9700"
"2017/07/21","236.5400","1566854.0000","235.9800","238.0800","232.5500"
"2017/07/20","238.6200","2094585.0000","243.8800","252.4467","235.8900"
"2017/07/19","263.5300","755620.0000","262.2400","263.7900","261.0000"
"2017/07/18","262.0000","395531.0000","261.3500","263.0600","259.5000"
"2017/07/17","262.0700","591825.0000","265.1000","265.6800","260.3800"
"2017/07/14","264.1400","585075.0000","264.5500","265.2700","261.4200"
"2017/07/13","264.5700","497730.0000","261.6500","265.2800","261.0200"
"2017/07/12","260.2700","457201.0000","260.5600","263.6000","259.7100"
"2017/07/11","259.3200","568191.0000","256.6000","261.2100","255.2700"
"2017/07/10","256.0400","562893.0000","255.5000","257.0500","253.3100"
"2017/07/07","256.1700","342874.0000","254.7400","258.1100","254.4900"
"2017/07/06","254.3300","423866.0000","257.0200","257.6600","253.2201"
"2017/07/05","259.2800","349809.0000","258.6800","260.0900","257.6000"
"2017/07/03","258.2300","307361.0000","257.2600","258.6000","256.0900"
"2017/06/30","256.6900","563981.0000","259.7600","260.1300","256.6300"
"2017/06/29","258.1200","526854.0000","263.2200","264.1600","256.8500"
"2017/06/28","262.6000","437336.0000","261.4400","263.6700","260.0200"
